CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,26-04-2018,1853,508,1345
Surat,27-04-2018,1699,325,1374
Surat,28-04-2018,1604,226,1378
Surat,29-04-2018,1506,116,1390
Surat,30-04-2018,1933,531,1402
Surat,01-05-2018,1814,430,1384
Surat,02-05-2018,1934,580,1354
Surat,03-05-2018,1970,577,1393
Surat,04-05-2018,1723,297,1426
Surat,05-05-2018,1707,268,1439
Surat,06-05-2018,1563,108,1455
Surat,07-05-2018,1919,454,1465
Surat,08-05-2018,2108,638,1470
Surat,09-05-2018,1896,509,1387
Surat,10-05-2018,1645,280,1365
Surat,11-05-2018,1649,291,1358
Surat,12-05-2018,1553,186,1367
Surat,13-05-2018,1462,89,1373
Surat,14-05-2018,1917,543,1374
Surat,15-05-2018,1987,631,1356
Surat,16-05-2018,1943,609,1334
Surat,17-05-2018,1658,298,1360
Surat,18-05-2018,1739,351,1388
Surat,19-05-2018,1748,335,1413
Surat,20-05-2018,1542,101,1441
Surat,21-05-2018,2053,578,1475
Surat,22-05-2018,2003,530,1473
Surat,23-05-2018,1984,511,1473
Surat,24-05-2018,1767,282,1485
Surat,25-05-2018,1858,359,1499
Surat,26-05-2018,1813,291,1522
Surat,27-05-2018,1647,118,1529
Surat,28-05-2018,2133,603,1530
Surat,29-05-2018,2016,502,1514
Surat,30-05-2018,1864,423,1441
Surat,31-05-2018,1872,427,1445
Surat,01-06-2018,1865,417,1448
Surat,02-06-2018,1872,422,1450
Surat,03-06-2018,1688,186,1502
Surat,04-06-2018,2257,759,1498
Surat,05-06-2018,2287,789,1498
Surat,06-06-2018,2412,954,1458
Surat,07-06-2018,1905,433,1472
Surat,08-06-2018,2011,545,1466
Surat,09-06-2018,1801,328,1473
Surat,10-06-2018,1665,163,1502
Surat,11-06-2018,2409,883,1526
Surat,12-06-2018,2571,1078,1493
Surat,13-06-2018,2211,785,1426
Surat,14-06-2018,1893,440,1453
Surat,15-06-2018,2053,587,1466
Surat,16-06-2018,1820,323,1497
Surat,17-06-2018,1680,164,1516
Surat,18-06-2018,2430,912,1518
Surat,19-06-2018,2513,1011,1502
Surat,20-06-2018,2143,701,1442
Surat,21-06-2018,1977,530,1447
Surat,22-06-2018,1996,532,1464
Surat,23-06-2018,1851,389,1462
Surat,24-06-2018,1659,182,1477
Surat,25-06-2018,2448,943,1505
Surat,26-06-2018,2425,944,1481
Surat,27-06-2018,2441,927,1514
Surat,28-06-2018,2164,608,1556
Surat,29-06-2018,2333,738,1595
Surat,30-06-2018,2335,734,1601
Surat,01-07-2018,1864,244,1620
Surat,02-07-2018,2545,909,1636
Surat,03-07-2018,2446,897,1549
Surat,04-07-2018,2329,839,1490
Surat,05-07-2018,2343,837,1506
Surat,06-07-2018,2292,771,1521
Surat,07-07-2018,2239,714,1525
Surat,08-07-2018,1836,299,1537
Surat,09-07-2018,2714,1139,1575
Surat,10-07-2018,2600,1059,1541
Surat,11-07-2018,2444,926,1518
Surat,12-07-2018,2117,625,1492
Surat,13-07-2018,2261,756,1505
Surat,14-07-2018,2044,524,1520
Surat,15-07-2018,1773,256,1517
Surat,16-07-2018,2557,1032,1525
Surat,17-07-2018,2772,1314,1458
Surat,18-07-2018,2468,1015,1453
Surat,19-07-2018,2191,712,1479
Surat,20-07-2018,2142,645,1497
Surat,21-07-2018,2355,837,1518
Surat,22-07-2018,1790,243,1547
Surat,23-07-2018,2744,1154,1590
Surat,24-07-2018,2921,1373,1548
Surat,25-07-2018,2091,599,1492
Surat,26-07-2018,2117,622,1495
Surat,27-07-2018,2119,659,1460
Surat,28-07-2018,1952,512,1440
Surat,29-07-2018,1700,261,1439
Surat,30-07-2018,2489,1023,1466
Surat,31-07-2018,2544,1013,1531
Surat,01-08-2018,2515,1011,1504
Surat,02-08-2018,2107,585,1522
Surat,03-08-2018,2200,650,1550
Surat,04-08-2018,2278,720,1558
Surat,05-08-2018,1812,220,1592
Surat,06-08-2018,2174,528,1646
Surat,07-08-2018,2138,471,1667
Surat,08-08-2018,2307,592,1715
Surat,09-08-2018,2223,494,1729
Surat,10-08-2018,2274,523,1751
Surat,11-08-2018,2212,447,1765
Surat,12-08-2018,1838,98,1740
Surat,13-08-2018,2463,710,1753
Surat,14-08-2018,2252,632,1620
Surat,15-08-2018,1793,189,1604
Surat,16-08-2018,2226,602,1624
Surat,17-08-2018,1883,257,1626
Surat,18-08-2018,2164,528,1636
Surat,19-08-2018,1785,146,1639
Surat,20-08-2018,2344,705,1639
Surat,21-08-2018,2275,623,1652
Surat,22-08-2018,1778,243,1535
Surat,23-08-2018,2008,453,1555
Surat,24-08-2018,2060,478,1582
Surat,25-08-2018,1993,413,1580
Surat,26-08-2018,1674,94,1580
Surat,27-08-2018,2214,585,1629
Surat,28-08-2018,2380,736,1644
Surat,29-08-2018,2152,571,1581
Surat,30-08-2018,2027,418,1609
Surat,31-08-2018,2004,392,1612
Surat,01-09-2018,2183,559,1624
Surat,02-09-2018,1807,158,1649
Surat,03-09-2018,1885,245,1640
Surat,04-09-2018,2061,436,1625
Surat,05-09-2018,2234,683,1551
Surat,06-09-2018,1959,378,1581
Surat,07-09-2018,2148,533,1615
Surat,08-09-2018,2020,433,1587
Surat,09-09-2018,1674,100,1574
Surat,10-09-2018,2108,540,1568
Surat,11-09-2018,2097,547,1550
Surat,12-09-2018,2130,613,1517
Surat,13-09-2018,1697,248,1449
Surat,14-09-2018,1936,445,1491
Surat,15-09-2018,2088,585,1503
Surat,16-09-2018,1668,140,1528
Surat,17-09-2018,2174,614,1560
Surat,18-09-2018,2078,538,1540
Surat,19-09-2018,2171,655,1516
Surat,20-09-2018,2027,476,1551
Surat,21-09-2018,1786,247,1539
Surat,22-09-2018,1880,305,1575
Surat,23-09-2018,1661,101,1560
Surat,24-09-2018,1974,410,1564
Surat,25-09-2018,2257,646,1611
Surat,26-09-2018,2269,662,1607
Surat,27-09-2018,2045,427,1618
Surat,28-09-2018,2088,469,1619
Surat,29-09-2018,2031,408,1623
Surat,30-09-2018,1797,161,1636
Surat,01-10-2018,2361,743,1618
Surat,02-10-2018,1787,248,1539
Surat,03-10-2018,2014,565,1449
Surat,04-10-2018,1955,480,1475
Surat,05-10-2018,2035,542,1493
Surat,06-10-2018,2068,557,1511
Surat,07-10-2018,1699,173,1526
Surat,08-10-2018,2193,626,1567
Surat,09-10-2018,2243,679,1564
Surat,10-10-2018,2084,634,1450
Surat,11-10-2018,1906,420,1486
Surat,12-10-2018,2085,577,1508
Surat,13-10-2018,1929,424,1505
Surat,14-10-2018,1618,106,1512
Surat,15-10-2018,2115,596,1519
Surat,16-10-2018,2080,563,1517
Surat,17-10-2018,2045,568,1477
Surat,18-10-2018,1628,173,1455
Surat,19-10-2018,1941,435,1506
Surat,20-10-2018,2186,651,1535
Surat,21-10-2018,1735,215,1520
Surat,22-10-2018,2109,586,1523
Surat,23-10-2018,2148,666,1482
Surat,24-10-2018,2223,747,1476
Surat,25-10-2018,1819,399,1420
Surat,26-10-2018,1898,511,1387
Surat,27-10-2018,1837,433,1404
Surat,28-10-2018,1579,172,1407
Surat,29-10-2018,2081,653,1428
Surat,30-10-2018,2099,664,1435
Surat,31-10-2018,1782,345,1437
Surat,01-11-2018,2283,696,1587
Surat,02-11-2018,2085,417,1668
Surat,03-11-2018,2281,553,1728
Surat,04-11-2018,1972,190,1782
Surat,05-11-2018,2397,597,1800
Surat,06-11-2018,2208,582,1626
Surat,07-11-2018,1851,276,1575
Surat,08-11-2018,1505,41,1464
Surat,09-11-2018,1575,131,1444
Surat,10-11-2018,1670,252,1418
Surat,11-11-2018,1558,139,1419
Surat,12-11-2018,1851,423,1428
Surat,13-11-2018,1956,520,1436
Surat,14-11-2018,1959,512,1447
Surat,15-11-2018,2043,575,1468
Surat,16-11-2018,1920,421,1499
Surat,17-11-2018,1977,435,1542
Surat,18-11-2018,1672,118,1554
Surat,19-11-2018,2055,510,1545
Surat,20-11-2018,1864,351,1513
Surat,21-11-2018,1730,299,1431
Surat,22-11-2018,1833,420,1413
Surat,23-11-2018,1661,238,1423
Surat,24-11-2018,1715,293,1422
Surat,25-11-2018,1532,98,1434
Surat,26-11-2018,1903,455,1448
Surat,27-11-2018,1894,458,1436
Surat,28-11-2018,1878,475,1403
Surat,29-11-2018,1797,379,1418
Surat,30-11-2018,1836,411,1425
Surat,01-12-2018,2008,552,1456
Surat,02-12-2018,1599,137,1462
Surat,03-12-2018,2019,531,1488
Surat,04-12-2018,1957,457,1500
Surat,05-12-2018,1955,529,1426
Surat,06-12-2018,1876,425,1451
Surat,07-12-2018,1874,427,1447
Surat,08-12-2018,1831,346,1485
Surat,09-12-2018,1631,150,1481
Surat,10-12-2018,1960,451,1509
Surat,11-12-2018,1976,457,1519
Surat,12-12-2018,1999,447,1552
Surat,13-12-2018,1882,288,1594
Surat,14-12-2018,2037,405,1632
